]: unknown ByteOrder '@0+' for signal 'StW_Angl' in message 3; defaulting to 1 (Intel).
Warning: Signals[322]: invalid Minimum 'NEO' for 'EPAS_sysStatusCounter' in message 880; left empty.
Warning: Signals[323]: unknown ByteOrder '@0+' for signal 'EPAS_torsionBarTorque' in message 880; defaulting to 1 (Intel).
Warning: Signals[323]: invalid Factor '[0|0]' for 'EPAS_torsionBarTorque' in message 880; default 1.0 used.
Warning: Signals[323]: invalid Offset 'Nm' for 'EPAS_torsionBarTorque' in message 880; default 0.0 used.
Warning: Signals[323]: invalid Minimum 'NEO' for 'EPAS_torsionBarTorque' in message 880; left empty.
Warning: Signals[324]: unknown ByteOrder '@1+' for signal 'MCU_clusterBacklightOn' in message 904; defaulting to 1 (Intel).
Warning: Signals[324]: invalid Factor '[0|1]' for 'MCU_clusterBacklightOn' in message 904; default 1.0 used.
Warning: Signals[324]: invalid Minimum 'NEO' for 'MCU_clusterBacklightOn' in message 904; left empty.
Warning: Signals[325]: unknown ByteOrder '@1+' for signal 'MCU_clusterBrightnessLevel' in message 904; defaulting to 1 (Intel).
Warning: Signals[325]: invalid Factor '[0|127.5]' for 'MCU_clusterBrightnessLevel' in message 904; default 1.0 used.
Warning: Signals[325]: invalid Offset '%' for 'MCU_clusterBrightnessLevel' in message 904; default 0.0 used.
Warning: Signals[325]: invalid Minimum 'NEO' for 'MCU_clusterBrightnessLevel' in message 904; left empty.
Warning: Signals[326]: unknown ByteOrder '@1+' for signal 'MCU_clusterReadyForDrive' in message 904; defaulting to 1 (Intel).
Warning: Signals[326]: invalid Factor '[-1|2]' for 'MCU_clusterReadyForDrive' in message 904; default 1.0 used.
Warning: Signals[326]: invalid Minimum 'NEO' for 'MCU_clusterReadyForDrive' in message 904; left empty.
Warning: Signals[327]: unknown ByteOrder '@1+' for signal 'MCU_clusterReadyForPowerOff' in message 904; defaulting to 1 (Intel).
Warning: Signals[327]: invalid Factor '[0|1]' for 'MCU_clusterReadyForPowerOff' in message 904; default 1.0 used.
Warning: Signals[327]: invalid Minimum 'NEO' for 'MCU_clusterReadyForPowerOff' in message 904; left empty.
Warning: Signals[328]: unknown ByteOrder '@0+' for signal 'GTW_performanceConfig' in message 920; defaulting to 1 (Intel).
Warning: Signals[328]: invalid Factor '[0|0]' for 'GTW_performanceConfig' in message 920; default 1.0 used.
Warning: Signals[328]: invalid Minimum 'NEO' for 'GTW_performanceConfig' in message 920; left empty.
Warning: Signals[329]: unknown ByteOrder '@0+' for signal 'GTW_fourWheelDrive' in message 920; defaulting to 1 (Intel).
Warning: Signals[329]: invalid Factor '[0|0]' for 'GTW_fourWheelDrive' in message 920; default 1.0 used.
Warning: Signals[329]: invalid Minimum 'NEO' for 'GTW_fourWheelDrive' in message 920; left empty.
Warning: Signals[330]: unknown ByteOrder '@0+' for signal 'GTW_unknown1' in message 920; defaulting to 1 (Intel).
Warning: Signals[330]: invalid Factor '[0|0]' for 'GTW_unknown1' in message 920; default 1.0 used.
Warning: Signals[330]: invalid Minimum 'NEO' for 'GTW_unknown1' in message 920; left empty.
Warning: Signals[331]: unknown ByteOrder '@0+' for signal 'GTW_dasHw' in message 920; defaulting to 1 (Intel).
Warning: Signals[331]: invalid Factor '[0|0]' for 'GTW_dasHw' in message 920; default 1.0 used.
Warning: Signals[331]: invalid Minimum 'NEO' for 'GTW_dasHw' in message 920; left empty.
Warning: Signals[332]: unknown ByteOrder '@0+' for signal 'GTW_parkAssistInstalled' in message 920; defaulting to 1 (Intel).
Warning: Signals[332]: invalid Factor '[0|0]' for 'GTW_parkAssistInstalled' in message 920; default 1.0 used.
Warning: Signals[332]: invalid Minimum 'NEO' for 'GTW_parkAssistInstalled' in message 920; left empty.
Warning: Signals[333]: unknown ByteOrder '@0+' for signal 'GTW_forwardRadarHw' in message 920; defaulting to 1 (Intel).
Warning: Signals[333]: invalid Factor '[0|0]' for 'GTW_forwardRadarHw' in message 920; default 1.0 used.
Warning: Signals[333]: invalid Minimum 'NEO' for 'GTW_forwardRadarHw' in message 920; left empty.
Warning: Signals[334]: unknown ByteOrder '@0+' for signal 'GTW_airSuspensionInstalled' in message 920; defaulting to 1 (Intel).
Warning: Signals[334]: invalid Factor '[0|0]' for 'GTW_airSuspensionInstalled' in message 920; default 1.0 used.
Warning: Signals[334]: invalid Minimum 'NEO' for 'GTW_airSuspensionInstalled' in message 920; left empty.
Warning: Signals[335]: unknown ByteOrder '@0+' for signal 'GTW_unknown2' in message 920; defaulting to 1 (Intel).
Warning: Signals[335]: invalid Factor '[0|0]' for 'GTW_unknown2' in message 920; default 1.0 used.
Warning: Signals[335]: invalid Minimum 'NEO' for 'GTW_unknown2' in message 920; left empty.
Warning: Signals[336]: unknown ByteOrder '@0+' for signal 'GTW_country' in message 920; defaulting to 1 (Intel).
Warning: Signals[336]: invalid Factor '[0|0]' for 'GTW_country' in message 920; default 1.0 used.
Warning: Signals[336]: invalid Minimum 'NEO' for 'GTW_country' in message 920; left empty.
Warning: Signals[337]: unknown ByteOrder '@0+' for signal 'GTW_parkSensorGeometryType' in message 920; defaulting to 1 (Intel).
Warning: Signals[337]: invalid Factor '[0|0]' for 'GTW_parkSensorGeometryType' in message 920; default 1.0 used.
Warning: Signals[337]: invalid Minimum 'NEO' for 'GTW_parkSensorGeometryType' in message 920; left empty.
Warning: Signals[338]: unknown ByteOrder '@0+' for signal 'GTW_rhd' in message 920; defaulting to 1 (Intel).
Warning: Signals[338]: invalid Factor '[0|0]' for 'GTW_rhd' in message 920; default 1.0 used.
Warning: Signals[338]: invalid Minimum 'NEO' for 'GTW_rhd' in message 920; left empty.
Warning: Signals[339]: unknown ByteOrder '@0+' for signal 'GTW_bodyControlsType' in message 920; defaulting to 1 (Intel).
Warning: Signals[339]: invalid Factor '[0|0]' for 'GTW_bodyControlsType' in message 920; default 1.0 used.
Warning: Signals[339]: invalid Minimum 'NEO' for 'GTW_bodyControlsType' in message 920; left empty.
Warning: Signals[340]: unknown ByteOrder '@0+' for signal 'GTW_radarPosition' in message 920; defaulting to 1 (Intel).
Warning: Signals[340]: invalid Factor '[0|0]' for 'GTW_radarPosition' in message 920; default 1.0 used.
Warning: Signals[340]: invalid Minimum 'NEO' for 'GTW_radarPosition' in message 920; left empty.
Warning: Signals[341]: unknown ByteOrder '@0+' for signal 'GTW_rearCornerRadarHw' in message 920; defaulting to 1 (Intel).
Warning: Signals[341]: invalid Factor '[0|0]' for 'GTW_rearCornerRadarHw' in message 920; default 1.0 used.
Warning: Signals[341]: invalid Minimum 'NEO' for 'GTW_rearCornerRadarHw' in message 920; left empty.
Warning: Signals[342]: unknown ByteOrder '@0+' for signal 'GTW_frontCornerRadarHw' in message 920; defaulting to 1 (Intel).
Warning: Signals[342]: invalid Factor '[0|0]' for 'GTW_frontCornerRadarHw' in message 920; default 1.0 used.
Warning: Signals[342]: invalid Minimum 'NEO' for 'GTW_frontCornerRadarHw' in message 920; left empty.
Warning: Signals[343]: unknown ByteOrder '@0+' for signal 'GTW_epasType' in message 920; defaulting to 1 (Intel).
Warning: Signals[343]: invalid Factor '[0|0]' for 'GTW_epasType' in message 920; default 1.0 used.
Warning: Signals[343]: invalid Minimum 'NEO' for 'GTW_epasType' in message 920; left empty.
Warning: Signals[344]: unknown ByteOrder '@0+' for signal 'GTW_chassisType' in message 920; defaulting to 1 (Intel).
Warning: Signals[344]: invalid Factor '[0|2]' for 'GTW_chassisType' in message 920; default 1.0 used.
Warning: Signals[344]: invalid Minimum 'NEO' for 'GTW_chassisType' in message 920; left empty.
Warning: Signals[345]: unknown ByteOrder '@0+' for signal 'GTW_wheelType' in message 920; defaulting to 1 (Intel).
Warning: Signals[345]: invalid Factor '[0|0]' for 'GTW_wheelType' in message 920; default 1.0 used.
Warning: Signals[345]: invalid Minimum 'NEO' for 'GTW_wheelType' in message 920; left empty.
Warning: Signals[346]: unknown ByteOrder '@0+' for signal 'GTW_rearSeatControllerMask' in message 920; defaulting to 1 (Intel).
Warning: Signals[346]: invalid Factor '[0|7]' for 'GTW_rearSeatControllerMask' in message 920; default 1.0 used.
Warning: Signals[346]: invalid Minimum 'NEO' for 'GTW_rearSeatControllerMask' in message 920; left empty.
Warning: Signals[347]: unknown ByteOrder '@0+' for signal 'GTW_euVehicle' in message 920; defaulting to 1 (Intel).
Warning: Signals[347]: invalid Factor '[0|0]' for 'GTW_euVehicle' in message 920; default 1.0 used.
Warning: Signals[347]: invalid Minimum 'NEO' for 'GTW_euVehicle' in message 920; left empty.
Warning: Signals[348]: unknown ByteOrder '@0+' for signal 'GTW_foldingMirrorsInstalled' in message 920; defaulting to 1 (Intel).
Warning: Signals[348]: invalid Factor '[0|0]' for 'GTW_foldingMirrorsInstalled' in message 920; default 1.0 used.
Warning: Signals[348]: invalid Minimum 'NEO' for 'GTW_foldingMirrorsInstalled' in message 920; left empty.
Warning: Signals[349]: unknown ByteOrder '@0+' for signal 'GTW_brakeHwType' in message 920; defaulting to 1 (Intel).
Warning: Signals[349]: invalid Factor '[0|2]' for 'GTW_brakeHwType' in message 920; default 1.0 used.
Warning: Signals[349]: invalid Minimum 'NEO' for 'GTW_brakeHwType' in message 920; left empty.
Warning: Signals[350]: unknown ByteOrder '@0+' for signal 'GTW_autopilot' in message 920; defaulting to 1 (Intel).
Warning: Signals[350]: invalid Factor '[0|0]' for 'GTW_autopilot' in message 920; default 1.0 used.
Warning: Signals[350]: invalid Minimum 'NEO' for 'GTW_autopilot' in message 920; left empty.
Warning: Signals[351]: unknown ByteOrder '@0+' for signal 'GTW_unknown3' in message 920; defaulting to 1 (Intel).
Warning: Signals[351]: invalid Factor '[0|0]' for 'GTW_unknown3' in message 920; default 1.0 used.
Warning: Signals[351]: invalid Minimum 'NEO' for 'GTW_unknown3' in message 920; left empty.
Warning: Signals[352]: unknown ByteOrder '@1+' for signal 'autopilotStatus' in message 921; defaulting to 1 (Intel).
Warning: Signals[352]: invalid Factor '[0|0]' for 'autopilotStatus' in message 921; default 1.0 used.
Warning: Signals[352]: invalid Minimum 'XXX' for 'autopilotStatus' in message 921; left empty.
Warning: Signals[353]: unknown ByteOrder '@1+' for signal 'UI_mapSpeedLimitDependency' in message 968; defaulting to 1 (Intel).
Warning: Signals[353]: invalid Factor '[0|0]' for 'UI_mapSpeedLimitDependency' in message 968; default 1.0 used.
Warning: Signals[353]: invalid Minimum 'DAS' for 'UI_mapSpeedLimitDependency' in message 968; left empty.
Warning: Signals[354]: unknown ByteOrder '@1+' for signal 'UI_roadClass' in message 968; defaulting to 1 (Intel).
Warning: Signals[354]: invalid Factor '[0|0]' for 'UI_roadClass' in message 968; default 1.0 used.
Warning: Signals[354]: invalid Minimum 'DAS' for 'UI_roadClass' in message 968; left empty.
Warning: Signals[355]: unknown ByteOrder '@1+' for signal 'UI_inSuperchargerGeofence' in message 968; defaulting to 1 (Intel).
Warning: Signals[355]: invalid Factor '[0|0]' for 'UI_inSuperchargerGeofence' in message 968; default 1.0 used.
Warning: Signals[355]: invalid Minimum 'DAS' for 'UI_inSuperchargerGeofence' in message 968; left empty.
Warning: Signals[356]: unknown ByteOrder '@1+' for signal 'UI_mapSpeedUnits' in message 968; defaulting to 1 (Intel).
Warning: Signals[356]: invalid Factor '[0|0]' for 'UI_mapSpeedUnits' in message 968; default 1.0 used.
Warning: Signals[356]: invalid Minimum 'DAS' for 'UI_mapSpeedUnits' in message 968; left empty.
Warning: Signals[357]: unknown ByteOrder '@1+' for signal 'UI_mapSpeedLimit' in message 968; defaulting to 1 (Intel).
Warning: Signals[357]: invalid Factor '[0|0]' for 'UI_mapSpeedLimit' in message 968; default 1.0 used.
Warning: Signals[357]: invalid Minimum 'DAS' for 'UI_mapSpeedLimit' in message 968; left empty.
Warning: Signals[358]: unknown ByteOrder '@1+' for signal 'UI_mapSpeedLimitType' in message 968; defaulting to 1 (Intel).
Warning: Signals[358]: invalid Factor '[0|0]' for 'UI_mapSpeedLimitType' in message 968; default 1.0 used.
Warning: Signals[358]: invalid Minimum 'DAS' for 'UI_mapSpeedLimitType' in message 968; left empty.
Warning: Signals[359]: unknown ByteOrder '@1+' for signal 'UI_countryCode' in message 968; defaulting to 1 (Intel).
Warning: Signals[359]: invalid Factor '[0|0]' for 'UI_countryCode' in message 968; default 1.0 used.
Warning: Signals[359]: invalid Minimum 'DAS' for 'UI_countryCode' in message 968; left empty.
Warning: Signals[360]: unknown ByteOrder '@1+' for signal 'UI_streetCount' in message 968; defaulting to 1 (Intel).
Warning: Signals[360]: invalid Factor '[0|0]' for 'UI_streetCount' in message 968; default 1.0 used.
Warning: Signals[360]: invalid Minimum 'DAS' for 'UI_streetCount' in message 968; left empty.
Warning: Signals[361]: unknown ByteOrder '@1+' for signal 'UI_gpsRoadMatch' in message 968; defaulting to 1 (Intel).
Warning: Signals[361]: invalid Factor '[0|0]' for 'UI_gpsRoadMatch' in message 968; default 1.0 used.
Warning: Signals[361]: invalid Minimum 'DAS' for 'UI_gpsRoadMatch' in message 968; left empty.
Warning: Signals[362]: unknown ByteOrder '@1+' for signal 'UI_navRouteActive' in message 968; defaulting to 1 (Intel).
Warning: Signals[362]: invalid Factor '[0|0]' for 'UI_navRouteActive' in message 968; default 1.0 used.
Warning: Signals[362]: invalid Minimum 'DAS' for 'UI_navRouteActive' in message 968; left empty.
Warning: Signals[363]: unknown ByteOrder '@1+' for signal 'UI_parallelAutoparkEnabled' in message 968; defaulting to 1 (Intel).
Warning: Signals[363]: invalid Factor '[0|1]' for 'UI_parallelAutoparkEnabled' in message 968; default 1.0 used.
Warning: Signals[363]: invalid Minimum 'DAS' for 'UI_parallelAutoparkEnabled' in message 968; left empty.
Warning: Signals[364]: unknown ByteOrder '@1+' for signal 'UI_perpendicularAutoparkEnabled' in message 968; defaulting to 1 (Intel).
Warning: Signals[364]: invalid Factor '[0|1]' for 'UI_perpendicularAutoparkEnabled' in message 968; default 1.0 used.
Warning: Signals[364]: invalid Minimum 'DAS' for 'UI_perpendicularAutoparkEnabled' in message 968; left empty.
Warning: Signals[365]: unknown ByteOrder '@1+' for signal 'UI_nextBranchDist' in message 968; defaulting to 1 (Intel).
Warning: Signals[365]: invalid Factor '[0|300]' for 'UI_nextBranchDist' in message 968; default 1.0 used.
Warning: Signals[365]: invalid Offset 'm' for 'UI_nextBranchDist' in message 968; default 0.0 used.
Warning: Signals[365]: invalid Minimum 'DAS' for 'UI_nextBranchDist' in message 968; left empty.
Warning: Signals[366]: unknown ByteOrder '@1+' for signal 'UI_controlledAccess' in message 968; defaulting to 1 (Intel).
Warning: Signals[366]: invalid Factor '[0|0]' for 'UI_controlledAccess' in message 968; default 1.0 used.
Warning: Signals[366]: invalid Minimum 'DAS' for 'UI_controlledAccess' in message 968; left empty.
Warning: Signals[367]: unknown ByteOrder '@1+' for signal 'UI_nextBranchLeftOffRamp' in message 968; defaulting to 1 (Intel).
Warning: Signals[367]: invalid Factor '[0|0]' for 'UI_nextBranchLeftOffRamp' in message 968; default 1.0 used.
Warning: Signals[367]: invalid Minimum 'DAS' for 'UI_nextBranchLeftOffRamp' in message 968; left empty.
Warning: Signals[368]: unknown ByteOrder '@1+' for signal 'UI_nextBranchRightOffRamp' in message 968; defaulting to 1 (Intel).
Warning: Signals[368]: invalid Factor '[0|0]' for 'UI_nextBranchRightOffRamp' in message 968; default 1.0 used.
Warning: Signals[368]: invalid Minimum 'DAS' for 'UI_nextBranchRightOffRamp' in message 968; left empty.
Warning: Signals[369]: unknown ByteOrder '@1+' for signal 'UI_rejectLeftLane' in message 968; defaulting to 1 (Intel).
Warning: Signals[369]: invalid Factor '[0|0]' for 'UI_rejectLeftLane' in message 968; default 1.0 used.
Warning: Signals[369]: invalid Minimum 'DAS' for 'UI_rejectLeftLane' in message 968; left empty.
Warning: Signals[370]: unknown ByteOrder '@1+' for signal 'UI_rejectRightLane' in message 968; defaulting to 1 (Intel).
Warning: Signals[370]: invalid Factor '[0|0]' for 'UI_rejectRightLane' in message 968; default 1.0 used.
Warning: Signals[370]: invalid Minimum 'DAS' for 'UI_rejectRightLane' in message 968; left empty.
Warning: Signals[371]: unknown ByteOrder '@1+' for signal 'UI_rejectHPP' in message 968; defaulting to 1 (Intel).
Warning: Signals[371]: invalid Factor '[0|0]' for 'UI_rejectHPP' in message 968; default 1.0 used.
Warning: Signals[371]: invalid Minimum 'DAS' for 'UI_rejectHPP' in message 968; left empty.
Warning: Signals[372]: unknown ByteOrder '@1+' for signal 'UI_rejectNav' in message 968; defaulting to 1 (Intel).
Warning: Signals[372]: invalid Factor '[0|0]' for 'UI_rejectNav' in message 968; default 1.0 used.
Warning: Signals[372]: invalid Minimum 'DAS' for 'UI_rejectNav' in message 968; left empty.
Warning: Signals[373]: unknown ByteOrder '@1+' for signal 'UI_rejectLeftFreeSpace' in message 968; defaulting to 1 (Intel).
Warning: Signals[373]: invalid Factor '[0|0]' for 'UI_rejectLeftFreeSpace' in message 968; default 1.0 used.
Warning: Signals[373]: invalid Minimum 'DAS' for 'UI_rejectLeftFreeSpace' in message 968; left empty.
Warning: Signals[374]: unknown ByteOrder '@1+' for signal 'UI_rejectRightFreeSpace' in message 968; defaulting to 1 (Intel).
Warning: Signals[374]: invalid Factor '[0|0]' for 'UI_rejectRightFreeSpace' in message 968; default 1.0 used.
Warning: Signals[374]: invalid Minimum 'DAS' for 'UI_rejectRightFreeSpace' in message 968; left empty.
Warning: Signals[375]: unknown ByteOrder '@1+' for signal 'UI_rejectAutosteer' in message 968; defaulting to 1 (Intel).
Warning: Signals[375]: invalid Factor '[0|0]' for 'UI_rejectAutosteer' in message 968; default 1.0 used.
Warning: Signals[375]: invalid Minimum 'DAS' for 'UI_rejectAutosteer' in message 968; left empty.
Warning: Signals[376]: unknown ByteOrder '@1+' for signal 'UI_rejectHandsOn' in message 968; defaulting to 1 (Intel).
Warning: Signals[376]: invalid Factor '[0|0]' for 'UI_rejectHandsOn' in message 968; default 1.0 used.
Warning: Signals[376]: invalid Minimum 'DAS' for 'UI_rejectHandsOn' in message 968; left empty.
Warning: Signals[377]: unknown ByteOrder '@1+' for signal 'UI_acceptBottsDots' in message 968; defaulting to 1 (Intel).
Warning: Signals[377]: invalid Factor '[0|0]' for 'UI_acceptBottsDots' in message 968; default 1.0 used.
Warning: Signals[377]: invalid Minimum 'DAS' for 'UI_acceptBottsDots' in message 968; left empty.
Warning: Signals[378]: unknown ByteOrder '@1+' for signal 'UI_autosteerRestricted' in message 968; defaulting to 1 (Intel).
Warning: Signals[378]: invalid Factor '[0|0]' for 'UI_autosteerRestricted' in message 968; default 1.0 used.
Warning: Signals[378]: invalid Minimum 'DAS' for 'UI_autosteerRestricted' in message 968; left empty.
Warning: Signals[379]: unknown ByteOrder '@1+' for signal 'UI_pmmEnabled' in message 968; defaulting to 1 (Intel).
Warning: Signals[379]: invalid Factor '[0|0]' for 'UI_pmmEnabled' in message 968; default 1.0 used.
Warning: Signals[379]: invalid Minimum 'DAS' for 'UI_pmmEnabled' in message 968; left empty.
Warning: Signals[380]: unknown ByteOrder '@1+' for signal 'UI_scaEnabled' in message 968; defaulting to 1 (Intel).
Warning: Signals[380]: invalid Factor '[0|0]' for 'UI_scaEnabled' in message 968; default 1.0 used.
Warning: Signals[380]: invalid Minimum 'DAS' for 'UI_scaEnabled' in message 968; left empty.
Warning: Signals[381]: unknown ByteOrder '@1+' for signal 'UI_mapDataCounter' in message 968; defaulting to 1 (Intel).
Warning: Signals[381]: invalid Factor '[0|0]' for 'UI_mapDataCounter' in message 968; default 1.0 used.
Warning: Signals[381]: invalid Minimum 'DAS' for 'UI_mapDataCounter' in message 968; left empty.
Warning: Signals[382]: unknown ByteOrder '@1+' for signal 'UI_mapDataChecksum' in message 968; defaulting to 1 (Intel).
Warning: Signals[382]: invalid Factor '[0|0]' for 'UI_mapDataChecksum' in message 968; default 1.0 used.
Warning: Signals[382]: invalid Minimum 'DAS' for 'UI_mapDataChecksum' in message 968; left empty.
Warning: Signals[383]: unknown ByteOrder '@1+' for signal 'MCU_gpsAccuracy' in message 984; defaulting to 1 (Intel).
Warning: Signals[383]: invalid Factor '[0|0]' for 'MCU_gpsAccuracy' in message 984; default 1.0 used.
Warning: Signals[383]: invalid Offset 'm' for 'MCU_gpsAccuracy' in message 984; default 0.0 used.
Warning: Signals[383]: invalid Minimum 'NEO' for 'MCU_gpsAccuracy' in message 984; left empty.
Warning: Signals[384]: unknown ByteOrder '@1-' for signal 'MCU_latitude' in message 984; defaulting to 1 (Intel).
Warning: Signals[384]: invalid Factor '[0|0]' for 'MCU_latitude' in message 984; default 1.0 used.
Warning: Signals[384]: invalid Offset 'deg' for 'MCU_latitude' in message 984; default 0.0 used.
Warning: Signals[384]: invalid Minimum 'NEO' for 'MCU_latitude' in message 984; left empty.
Warning: Signals[385]: unknown ByteOrder '@1-' for signal 'MCU_longitude' in message 984; defaulting to 1 (Intel).
Warning: Signals[385]: invalid Factor '[0|0]' for 'MCU_longitude' in message 984; default 1.0 used.
Warning: Signals[385]: invalid Offset 'deg' for 'MCU_longitude' in message 984; default 0.0 used.
Warning: Signals[385]: invalid Minimum 'NEO' for 'MCU_longitude' in message 984; left empty.
Warning: Signals[386]: unknown ByteOrder '@1+' for signal 'UI_autopilotControlRequest' in message 1000; defaulting to 1 (Intel).
Warning: Signals[386]: invalid Factor '[0|1]' for 'UI_autopilotControlRequest' in message 1000; default 1.0 used.
Warning: Signals[386]: invalid Minimum 'DAS' for 'UI_autopilotControlRequest' in message 1000; left empty.
Warning: Signals[387]: unknown ByteOrder '@1+' for signal 'UI_ulcStalkConfirm' in message 1000; defaulting to 1 (Intel).
Warning: Signals[387]: invalid Factor '[0|1]' for 'UI_ulcStalkConfirm' in message 1000; default 1.0 used.
Warning: Signals[387]: invalid Minimum 'DAS' for 'UI_ulcStalkConfirm' in message 1000; left empty.
Warning: Signals[388]: unknown ByteOrder '@1+' for signal 'UI_summonHeartbeat' in message 1000; defaulting to 1 (Intel).
Warning: Signals[388]: invalid Factor '[0|0]' for 'UI_summonHeartbeat' in message 1000; default 1.0 used.
Warning: Signals[388]: invalid Minimum 'DAS' for 'UI_summonHeartbeat' in message 1000; left empty.
Warning: Signals[389]: unknown ByteOrder '@1+' for signal 'UI_curvSpeedAdaptDisable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[389]: invalid Factor '[0|0]' for 'UI_curvSpeedAdaptDisable' in message 1000; default 1.0 used.
Warning: Signals[389]: invalid Minimum 'DAS' for 'UI_curvSpeedAdaptDisable' in message 1000; left empty.
Warning: Signals[390]: unknown ByteOrder '@1+' for signal 'UI_dasDeveloper' in message 1000; defaulting to 1 (Intel).
Warning: Signals[390]: invalid Factor '[0|0]' for 'UI_dasDeveloper' in message 1000; default 1.0 used.
Warning: Signals[390]: invalid Minimum 'DAS' for 'UI_dasDeveloper' in message 1000; left empty.
Warning: Signals[391]: unknown ByteOrder '@1+' for signal 'UI_enableVinAssociation' in message 1000; defaulting to 1 (Intel).
Warning: Signals[391]: invalid Factor '[0|0]' for 'UI_enableVinAssociation' in message 1000; default 1.0 used.
Warning: Signals[391]: invalid Minimum 'DAS' for 'UI_enableVinAssociation' in message 1000; left empty.
Warning: Signals[392]: unknown ByteOrder '@1+' for signal 'UI_lssLkaEnabled' in message 1000; defaulting to 1 (Intel).
Warning: Signals[392]: invalid Factor '[0|0]' for 'UI_lssLkaEnabled' in message 1000; default 1.0 used.
Warning: Signals[392]: invalid Minimum 'DAS' for 'UI_lssLkaEnabled' in message 1000; left empty.
Warning: Signals[393]: unknown ByteOrder '@1+' for signal 'UI_lssLdwEnabled' in message 1000; defaulting to 1 (Intel).
Warning: Signals[393]: invalid Factor '[0|0]' for 'UI_lssLdwEnabled' in message 1000; default 1.0 used.
Warning: Signals[393]: invalid Minimum 'DAS' for 'UI_lssLdwEnabled' in message 1000; left empty.
Warning: Signals[394]: unknown ByteOrder '@1+' for signal 'UI_autoSummonEnable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[394]: invalid Factor '[0|1]' for 'UI_autoSummonEnable' in message 1000; default 1.0 used.
Warning: Signals[394]: invalid Minimum 'DAS' for 'UI_autoSummonEnable' in message 1000; left empty.
Warning: Signals[395]: unknown ByteOrder '@1+' for signal 'UI_exceptionListEnable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[395]: invalid Factor '[0|1]' for 'UI_exceptionListEnable' in message 1000; default 1.0 used.
Warning: Signals[395]: invalid Minimum 'APP' for 'UI_exceptionListEnable' in message 1000; left empty.
Warning: Signals[396]: unknown ByteOrder '@1+' for signal 'UI_roadCheckDisable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[396]: invalid Factor '[0|0]' for 'UI_roadCheckDisable' in message 1000; default 1.0 used.
Warning: Signals[396]: invalid Minimum 'DAS' for 'UI_roadCheckDisable' in message 1000; left empty.
Warning: Signals[397]: unknown ByteOrder '@1+' for signal 'UI_driveOnMapsEnable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[397]: invalid Factor '[0|0]' for 'UI_driveOnMapsEnable' in message 1000; default 1.0 used.
Warning: Signals[397]: invalid Minimum 'DAS' for 'UI_driveOnMapsEnable' in message 1000; left empty.
Warning: Signals[398]: unknown ByteOrder '@1+' for signal 'UI_handsOnRequirementDisable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[398]: invalid Factor '[0|0]' for 'UI_handsOnRequirementDisable' in message 1000; default 1.0 used.
Warning: Signals[398]: invalid Minimum 'DAS' for 'UI_handsOnRequirementDisable' in message 1000; left empty.
Warning: Signals[399]: unknown ByteOrder '@1+' for signal 'UI_forksEnable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[399]: invalid Factor '[0|0]' for 'UI_forksEnable' in message 1000; default 1.0 used.
Warning: Signals[399]: invalid Minimum 'DAS' for 'UI_forksEnable' in message 1000; left empty.
Warning: Signals[400]: unknown ByteOrder '@1+' for signal 'UI_fuseLanesDisable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[400]: invalid Factor '[0|0]' for 'UI_fuseLanesDisable' in message 1000; default 1.0 used.
Warning: Signals[400]: invalid Minimum 'DAS' for 'UI_fuseLanesDisable' in message 1000; left empty.
Warning: Signals[401]: unknown ByteOrder '@1+' for signal 'UI_fuseHPPDisable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[401]: invalid Factor '[0|0]' for 'UI_fuseHPPDisable' in message 1000; default 1.0 used.
Warning: Signals[401]: invalid Minimum 'DAS' for 'UI_fuseHPPDisable' in message 1000; left empty.
Warning: Signals[402]: unknown ByteOrder '@1+' for signal 'UI_fuseVehiclesDisable' in message 1000; defaulting to 1 (Intel).
Warning: Signals[402]: invalid Factor '[0|0]' for 'UI_fuseVehiclesDisable' in message 1000; default 1.0 used.
Warning: Signals[402]: invalid Minimum 'DAS' for 'UI_fuseVehiclesDisable' in message 1000; left empty.
Warning: Signals[403]: unknown ByteOrder '@1+' for signal 'UI_enableNextGenACC' in message 1000; defaulting to 1 (Intel).
Warning: Signals[403]: invalid Factor '[0|1]' for 'UI_enableNextGenACC' in message 1000; default 1.0 used.
Warning: Signals[403]: invalid Minimum 'APP' for 'UI_enableNextGenACC' in message 1000; left empty.
Warning: Signals[404]: unknown ByteOrder '@1+' for signal 'UI_visionSpeedType' in message 1000; defaulting to 1 (Intel).
Warning: Signals[404]: invalid Factor '[0|0]' for 'UI_visionSpeedType' in message 1000; default 1.0 used.
Warning: Signals[404]: invalid Minimum 'APP' for 'UI_visionSpeedType' in message 1000; left empty.
Warning: Signals[405]: unknown ByteOrder '@1+' for signal 'UI_curvatureDatabaseOnly' in message 1000; defaulting to 1 (Intel).
Warning: Signals[405]: invalid Factor '[0|0]' for 'UI_curvatureDatabaseOnly' in message 1000; default 1.0 used.
